School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Program_Type,Application_Requirements,Program_Selections,Subprograms,How_To_Apply,Deadline,School_Latitude,School_Longitude,Location
609939,GILLESPIE,Frank L Gillespie Elementary School,Neighborhood,ES,9301 S STATE ST,Chicago,Illinois,60619,7735355065,7735355048,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609939,http://gillespietech.org,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.725332,-87.623719,"9301 S STATE ST
Chicago, Illinois 60619
(41.725332, -87.623719)"
609990,SOUTH LOOP,South Loop Elementary School,Regional gifted center,ES,1212 S PLYMOUTH CT,Chicago,Illinois,60605,7735348690,7735348689,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609990,http://www.southloopschool.net,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.866875,-87.628615,"1212 S PLYMOUTH CT
Chicago, Illinois 60605
(41.866875, -87.628615)"
609979,HEALY,Robert Healy Elementary School,Neighborhood,ES,3010 S PARNELL AVE,Chicago,Illinois,60616,7735349190,7735349182,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609979,http://healy.cps.edu/,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.839595,-87.640341,"3010 S PARNELL AVE
Chicago, Illinois 60616
(41.839595, -87.640341)"
609985,HEFFERAN,Helen M Hefferan Elementary School,Neighborhood,ES,4409 W WILCOX ST,Chicago,Illinois,60624,7735346192,7735346190,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609985,http://hefferan.cps.edu,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.878665,-87.735802,"4409 W WILCOX ST
Chicago, Illinois 60624
(41.878665, -87.735802)"
609904,ELLINGTON,Edward K Ellington Elementary School,Neighborhood,ES,243 N PARKSIDE AVE,Chicago,Illinois,60644,7735346361,7735346374,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609904,http://ellingtoncps.weebly.com,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.88553,-87.766589,"243 N PARKSIDE AVE
Chicago, Illinois 60644
(41.88553, -87.766589)"
610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,Neighborhood,ES,4747 S MARSHFIELD AVE,Chicago,Illinois,60609,7735354600,7735354603,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610148,http://www.chavez.cps.edu,Open Enrollment,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.807143,-87.666037,"4747 S MARSHFIELD AVE
Chicago, Illinois 60609
(41.807143, -87.666037)"
610141,RAVENSWOOD,Ravenswood Elementary School,Neighborhood,ES,4332 N PAULINA ST,Chicago,Illinois,60613,7735345525,7735345775,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610141,http://www.ravenswoodelementary.org,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.960746,-87.670922,"4332 N PAULINA ST
Chicago, Illinois 60613
(41.960746, -87.670922)"
609849,CASSELL,George F Cassell Elementary School,Neighborhood,ES,11314 S SPAULDING AVE,Chicago,Illinois,60655,7735352640,7735352667,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609849,http://cassell.cps.edu,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.687347,-87.703215,"11314 S SPAULDING AVE
Chicago, Illinois 60655
(41.687347, -87.703215)"
610176,SHOOP,John D Shoop Math-Science Technical Academy ES,Neighborhood,ES,11140 S BISHOP ST,Chicago,Illinois,60643,7735352715,7735352714,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610176,http://shoop.cps.edu/,Open Enrollment,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.690919,-87.658669,"11140 S BISHOP ST
Chicago, Illinois 60643
(41.690919, -87.658669)"
609837,CARNEGIE,Andrew Carnegie Elementary School,Regional gifted center,ES,1414 E 61ST PL,Chicago,Illinois,60637,7735350530,7735350525,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609837,http://www.carnegie.cps.edu,Magnet Cluster,None,"Students who live within the school's attendance boundary can be enrolled automatically and do not have to apply. Contact the school for registration instructions.  Students who live outside of the school's attendance boundary must submit a Standard Elementary Schools application between October and December. Available seats, if any, are filled via computerized lottery. Priority is given to applicants with a sibling who is currently enrolled in the school in grade K-7, and who will remain enrolled in the school for the coming school year.",,Students who live outside of the school's attendance boundary can apply online or via paper Standard Elementary Schools application by visiting go.cps.edu.,"December 15, 2017",41.783368,-87.590795,"1414 E 61ST PL
Chicago, Illinois 60637
(41.783368, -87.590795)"
