StudentID,SubjectID,Grade,Grade-Date
1,1,78,2015-03-15
1,2,78,2015-03-15
1,3,83,2015-03-15
1,4,84,2015-03-15
1,1,78,2015-04-15
1,2,77,2015-04-15
1,3,83,2015-04-15
1,4,73,2015-04-15
1,1,78,2015-05-15
1,2,80,2015-05-15
1,3,80,2015-05-15
1,4,62,2015-05-15
2,1,78,2015-03-15
2,2,76,2015-03-15
2,3,83,2015-03-15
2,4,75,2015-03-15
2,1,78,2015-04-15
2,2,77,2015-04-15
2,3,83,2015-04-15
2,4,65,2015-04-15
2,1,78,2015-05-15
2,2,80,2015-05-15
2,3,80,2015-05-15
2,4,92,2015-05-15
3,1,78,2015-03-15
3,2,76,2015-03-15
3,3,83,2015-03-15
3,4,71,2015-03-15
3,1,78,2015-04-15
3,2,77,2015-04-15
3,3,83,2015-04-15
3,4,65,2015-04-15
3,1,78,2015-05-15
3,2,80,2015-05-15
3,3,80,2015-05-15
3,4,62,2015-05-15
4,1,78,2015-03-15
4,2,76,2015-03-15
4,3,83,2015-03-15
4,4,62,2015-03-15
4,1,78,2015-04-15
4,2,77,2015-04-15
4,3,83,2015-04-15
4,4,72,2015-04-15
4,1,78,2015-05-15
4,2,80,2015-05-15
4,3,80,2015-05-15
4,4,73,2015-05-15
