StudentID,SubjectID,Grade,Grade-Date
1,3,78,3/15/16
1,15,76,3/15/16
1,16,83,3/15/16
1,12,62,3/15/16
1,3,78,4/15/16
1,15,77,4/15/16
1,16,83,4/15/16
1,12,65,4/15/16
1,3,78,5/15/16
1,15,80,5/15/16
1,16,80,5/15/16
1,12,62,5/15/16
2,3,99,3/15/16
2,15,89,3/15/16
2,16,91,3/15/16
2,12,92,3/15/16
2,3,85,4/15/16
2,15,88,4/15/16
2,16,95,4/15/16
2,12,99,4/15/16
2,3,93,5/15/16
2,15,88,5/15/16
2,16,87,5/15/16
2,12,89,5/15/16
3,3,99,3/15/16
3,15,78,3/15/16
3,16,89,3/15/16
3,12,78,3/15/16
3,3,83,4/15/16
3,15,80,4/15/16
3,16,85,4/15/16
3,12,97,4/15/16
3,3,96,5/15/16
3,15,96,5/15/16
3,16,95,5/15/16
3,12,83,5/15/16
4,3,90,3/15/16
4,15,92,3/15/16
4,16,94,3/15/16
4,12,95,3/15/16
4,3,91,4/15/16
4,15,90,4/15/16
4,16,93,4/15/16
4,12,94,4/15/16
4,3,90,5/15/16
4,15,96,5/15/16
4,16,97,5/15/16
4,12,98,5/15/16
